ticker,name,index,cik
NVDA,NVIDIA,IWB,0001045810
AAPL,APPLE,IWB,0000320193
MSFT,MICROSOFT,IWB,0000789019
AMZN,AMAZON.COM INC,IWB,0001018724
GOOGL,ALPHABET CLASS A,IWB,0001652044
AVGO,BROADCOM INC,IWB,0001730168
GOOG,ALPHABET CLASS C,IWB,0001652044
META,META PLATFORMS CLASS A,IWB,0001326801
MU,MICRON TECHNOLOGY,IWB,0000723125
TSLA,TESLA INC,IWB,0001318605
LLY,ELI LILLY,IWB,0000059478
JPM,JPMORGAN CHASE & CO,IWB,0000019617
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,IWB,0001067983
AMD,ADVANCED MICRO DEVICES,IWB,0000002488
XOM,EXXONMOBIL HOLDINGS CORP,IWB,0002115436
JNJ,JOHNSON & JOHNSON,IWB,0000200406
V,VISA CLASS A,IWB,0001403161
ABBV,ABBVIE,IWB,0001551152
MA,MASTERCARD CLASS A,IWB,0001141391
WMT,WALMART INC,IWB,0000104169
CSCO,CISCO SYSTEMS INC,IWB,0000858877
INTC,INTEL CORPORATION,IWB,0000050863
COST,COSTCO WHOLESALE CORP,IWB,0000909832
BAC,BANK OF AMERICA,IWB,0000070858
AMAT,APPLIED MATERIAL INC,IWB,0000006951
LRCX,LAM RESEARCH,IWB,0000707549
PLTR,PALANTIR TECHNOLOGIES CLASS A,IWB,0001321655
CVX,CHEVRON,IWB,0000093410
CAT,CATERPILLAR INC,IWB,0000018230
MRK,MERCK & CO INC,IWB,0000310158
GE,GE AEROSPACE,IWB,0000040545
KO,COCA-COLA,IWB,0000021344
UNH,UNITEDHEALTH GROUP INC,IWB,0000731766
NFLX,NETFLIX,IWB,0001065280
HD,HOME DEPOT,IWB,0000354950
PG,PROCTER & GAMBLE,IWB,0000080424
PM,PHILIP MORRIS INTERNATIONAL INC,IWB,0001413329
GS,GOLDMAN SACHS GROUP INC,IWB,0000886982
RTX,RTX CORP,IWB,0000101829
PANW,PALO ALTO NETWORKS,IWB,0001327567
GEV,GE VERNOVA INC,IWB,0001996810
WFC,WELLS FARGO,IWB,0000072971
ORCL,ORACLE,IWB,0001341439
KLAC,KLA,IWB,0000319201
TXN,TEXAS INSTRUMENT INC,IWB,0000097476
AMGN,AMGEN INC,IWB,0000318154
TMO,THERMO FISHER SCIENTIFIC INC,IWB,0000097745
SNDK,SANDISK,IWB,0002023554
MS,MORGAN STANLEY,IWB,0000895421
LIN,LINDE PLC,IWB,0001707925
C,CITIGROUP INC,IWB,0000831001
IBM,INTERNATIONAL BUSINESS MACHINES,IWB,0000051143
MRVL,MARVELL TECHNOLOGY,IWB,0001835632
VZ,VERIZON COMMUNICATIONS INC,IWB,0000732712
ABT,ABBOTT LABORATORIES,IWB,0000001800
PEP,PEPSICO,IWB,0000077476
ANET,ARISTA NETWORKS INC,IWB,0001596532
MCD,MCDONALDS CORP,IWB,0000063908
CRWD,CROWDSTRIKE HOLDINGS CLASS A,IWB,0001535527
DIS,WALT DISNEY,IWB,0001744489
APH,AMPHENOL CORP CLASS A,IWB,0000820313
ADI,ANALOG DEVICES,IWB,0000006281
UNP,UNION PACIFIC,IWB,0000100885
SCHW,CHARLES SCHWAB,IWB,0000316709
GILD,GILEAD SCIENCES INC,IWB,0000882095
NEE,NEXTERA ENERGY,IWB,0000753308
AXP,AMERICAN EXPRESS,IWB,0000004962
BLK,BLACKROCK,IWB,0002012383
T,AT&T INC,IWB,0000732717
QCOM,QUALCOMM,IWB,0000804328
WELL,WELLTOWER,IWB,0000766704
COP,CONOCOPHILLIPS,IWB,0001163165
BA,BOEING,IWB,0000012927
CRM,SALESFORCE,IWB,0001108524
BKNG,BOOKING HOLDINGS,IWB,0001075531
ETN,EATON PLC,IWB,0001551182
WDC,WESTERN DIGITAL CORP,IWB,0000106040
PFE,PFIZER,IWB,0000078003
TJX,TJX,IWB,0000109198
UBER,UBER TECHNOLOGIES,IWB,0001543151
DE,DEERE,IWB,0000315189
VRTX,VERTEX PHARMACEUTICALS,IWB,0000875320
DHR,DANAHER,IWB,0000313616
NEM,NEWMONT,IWB,0001164727
BMY,BRISTOL MYERS SQUIBB,IWB,0000014272
NOW,SERVICENOW INC,IWB,0001373715
PLD,PROLOGIS REIT,IWB,0001045609
COF,CAPITAL ONE FINANCIAL CORP,IWB,0000927628
ISRG,INTUITIVE SURGICAL INC,IWB,0001035267
DELL,DELL TECHNOLOGIES INC CLASS C,IWB,0001571996
PGR,PROGRESSIVE CORP,IWB,0000080661
SPGI,S&P GLOBAL INC,IWB,0000064040
PH,PARKER-HANNIFIN CORP,IWB,0000076334
LOW,LOWES COMPANIES INC,IWB,0000060667
CB,CHUBB,IWB,0000896159
CVS,CVS HEALTH,IWB,0000064803
GLW,CORNING,IWB,0000024741
SBUX,STARBUCKS CORP,IWB,0000829224
MDT,MEDTRONIC PLC,IWB,0001613103
LMT,LOCKHEED MARTIN CORP,IWB,0000936468
SYK,STRYKER,IWB,0000310764
MO,ALTRIA GROUP INC,IWB,0000764180
ADP,AUTOMATIC DATA PROCESSING INC,IWB,0000008670
ACN,ACCENTURE PLC CLASS A,IWB,0001467373
ADBE,ADOBE INC,IWB,0000796343
HWM,HOWMET AEROSPACE,IWB,0000004281
BNY,BANK OF NEW YORK MELLON CORP,IWB,0001390777
SNOW,SNOWFLAKE,IWB,0001640147
EQIX,EQUINIX REIT,IWB,0001101239
MPC,MARATHON PETROLEUM,IWB,0001510295
BX,BLACKSTONE,IWB,0001393818
SO,SOUTHERN,IWB,0000092122
