ticker,cik,edgar_share_points,edgar_oldest,av_quarters,av_oldest,price_days,price_oldest,edgar_error
A,0001090872,320,2007-10-31,81,2006-07-31,6739,1999-11-18,
AA,0001675149,145,2014-12-31,47,2014-12-31,2484,2016-10-18,
AAL,0000006201,301,2009-12-31,81,2006-06-30,5268,2005-09-27,
AAMI,0001748824,120,2017-12-31,52,2013-09-30,2124,2018-03-26,
AAOI,0001158114,275,2012-03-31,62,2011-03-31,3255,2013-09-26,
AAON,0000824142,317,2009-12-31,81,2006-06-30,6752,1999-11-01,
AAP,0001158449,260,2009-01-03,81,2006-06-30,6231,2001-11-29,
AAPL,0000320193,357,2007-09-29,81,2006-06-30,6752,1999-11-01,
AAT,0001500217,244,2011-01-19,69,2008-12-31,3934,2011-01-13,
ABAT,0001576873,193,2012-09-30,50,2013-12-31,742,2023-09-21,
ABBV,0001551152,226,2011-12-31,63,2010-12-31,3440,2013-01-02,
ABCB,0000351569,256,2010-06-30,81,2006-06-30,6752,1999-11-01,
ABEO,0000318306,218,2010-06-30,81,2006-06-30,6752,1999-11-01,
ABG,0001144980,255,2009-12-31,81,2006-06-30,6155,2002-03-21,
ABM,0000771497,324,2008-10-31,81,2006-04-30,6752,1999-11-01,
ABNB,0001559720,54,2019-12-31,28,2019-09-30,1440,2020-12-10,
ABOS,0001576885,107,2020-12-31,26,2020-03-31,1301,2021-07-01,
ABR,0001253986,317,2009-12-31,81,2006-06-30,5639,2004-04-07,
ABSI,0001672688,103,2020-06-30,26,2020-03-31,1287,2021-07-22,
ABT,0000001800,284,2007-12-31,81,2006-06-30,6752,1999-11-01,
ABUS,0001447028,239,2010-12-31,81,2006-06-30,2790,2015-08-03,
ABX,0001814287,77,2022-06-30,24,2020-09-30,1484,2020-09-14,
ACA,0001739445,122,2016-12-31,39,2016-12-31,1972,2018-10-30,
ACAD,0001070494,237,2009-12-31,81,2006-06-30,5604,2004-05-27,
ACCO,0000712034,273,2009-12-31,81,2006-06-30,5296,2005-08-17,
ACDC,0001881487,48,2022-06-30,26,2020-03-31,1082,2022-05-13,
ACEL,0001698991,99,2017-12-31,38,2017-03-31,1705,2019-11-21,
ACGL,0000947484,290,2008-12-31,81,2006-06-30,6752,1999-11-01,
ACH,0000075252,311,2009-12-31,0,,6752,1999-11-01,
ACHC,0001520697,311,2009-12-31,65,2010-06-30,6752,1999-11-01,
ACHR,0001824502,64,2020-09-30,26,2020-03-31,1434,2020-12-18,
ACHV,0000949858,242,2010-06-30,81,2006-06-30,6752,1999-11-01,
ACI,0001646972,121,2018-02-24,49,2014-05-31,1556,2020-06-26,
ACIC,0001401521,318,2009-12-31,77,2007-06-30,4736,2007-11-07,
ACIW,0000935036,327,2008-12-31,81,2006-06-30,6752,1999-11-01,
ACLS,0001113232,303,2009-12-31,81,2006-06-30,6578,2000-07-11,
ACM,0000868857,337,2008-09-30,81,2006-06-30,4862,2007-05-10,
ACMR,0001680062,82,2016-09-30,43,2015-12-31,2220,2017-11-03,
ACN,0001467373,148,2008-08-31,81,2006-05-31,6320,2001-07-19,
ACNB,0000715579,271,2010-06-30,81,2006-06-30,6752,1999-11-01,
ACR,0001332551,317,2009-12-31,81,2006-06-30,5168,2006-02-07,
ACRE,0001529377,294,2011-12-31,58,2012-03-31,3610,2012-04-27,
ACRS,0001557746,182,2014-12-31,51,2013-12-31,2744,2015-10-07,
ACT,0001823529,113,2019-12-31,30,2019-03-31,1248,2021-09-16,
ACTG,0000934549,324,2009-12-31,81,2006-06-30,5968,2002-12-16,
ACU,0000002098,278,2010-06-30,81,2006-06-30,6752,1999-11-01,
ACVA,0001637873,59,2020-09-30,31,2018-12-31,1370,2021-03-24,
ADAM,0001273685,315,2010-06-30,47,2014-12-31,5565,2004-07-26,
ADBE,0000796343,357,2007-11-30,81,2006-05-31,6752,1999-11-01,
ADC,0000917251,315,2010-06-30,81,2006-06-30,6752,1999-11-01,
ADCT,0001771910,68,2020-12-31,34,2018-03-31,1585,2020-05-15,
ADEA,0001803696,137,2018-12-31,81,2006-06-30,5733,2003-11-20,
ADI,0000006281,321,2007-11-03,81,2006-07-31,6752,1999-11-01,
ADIG,0002105139,1,2026-08-06,3,2025-06-30,27,2026-07-30,
ADM,0000007084,214,2008-06-30,81,2006-06-30,6752,1999-11-01,
ADMA,0001368514,236,2011-06-30,80,2006-09-30,3240,2013-10-17,
ADNT,0001670541,205,2015-09-30,48,2014-09-30,2475,2016-10-31,
ADP,0000008670,347,2008-06-30,81,2006-06-30,6752,1999-11-01,
ADPT,0001478320,133,2018-12-31,34,2018-03-31,1808,2019-06-27,
ADSK,0000769397,246,2008-01-31,81,2006-07-31,6752,1999-11-01,
ADT,0001703056,47,2016-12-31,42,2016-03-31,2169,2018-01-19,
ADTN,0000926282,334,2008-12-31,81,2006-06-30,6752,1999-11-01,
ADUS,0001468328,316,2009-12-31,74,2007-12-31,4239,2009-10-28,
ADV,0001776661,124,2019-12-31,32,2016-03-31,1965,2016-09-15,
AEBI,0002048519,36,2023-12-31,10,2024-03-31,298,2025-07-01,
AEE,0001002910,261,2007-12-31,81,2006-06-30,6752,1999-11-01,
AEHR,0001040470,313,2010-05-31,81,2006-05-31,6752,1999-11-01,
AEIS,0000927003,315,2009-12-31,81,2006-06-30,6752,1999-11-01,
AEO,0000919012,340,2009-01-31,81,2006-04-30,6752,1999-11-01,
AEP,0000004904,284,2007-12-31,81,2006-06-30,6752,1999-11-01,
AES,0000874761,352,2007-12-31,81,2006-06-30,6752,1999-11-01,
AESI,0001984060,63,2022-12-31,23,2020-12-31,877,2023-03-09,
AEVA,0001789029,139,2019-12-31,27,2019-12-31,1640,2020-02-27,
AFG,0001042046,274,2008-12-31,81,2006-06-30,6752,1999-11-01,
AFL,0000004977,357,2007-12-31,81,2006-06-30,6752,1999-11-01,
AFRI,0001903870,32,2020-12-31,15,2020-12-31,1063,2022-06-10,
AFRM,0001820953,60,2019-06-30,28,2019-09-30,1418,2021-01-13,
AGCO,0000880266,337,2008-12-31,81,2006-06-30,6752,1999-11-01,
